Form Type,Company Name,CIK,Date Filed,File Name
10-Q,"024 Pharma, Inc.",1307969,10/26/2016,edgar/data/1307969/0001683168-16-000378.txt
10-Q,"024 Pharma, Inc.",1307969,10/26/2016,edgar/data/1307969/0001683168-16-000379.txt
10-Q,1 800 FLOWERS COM INC,1084869,11/14/2016,edgar/data/1084869/0001437749-16-041919.txt
10-Q,"1347 Property Insurance Holdings, Inc.",1591890,11/14/2016,edgar/data/1591890/0001387131-16-007955.txt
10-Q,1847 Holdings LLC,1599407,11/21/2016,edgar/data/1599407/0001477932-16-013726.txt
10-Q,1PM Industries,859747,10/21/2016,edgar/data/859747/0001477932-16-013042.txt
10-Q,1ST CONSTITUTION BANCORP,1141807,11/10/2016,edgar/data/1141807/0001141807-16-000029.txt
10-Q,1ST SOURCE CORP,34782,10/20/2016,edgar/data/34782/0000034782-16-000175.txt
10-Q,1st FRANKLIN FINANCIAL CORP,38723,11/14/2016,edgar/data/38723/0001376474-16-000907.txt
10-Q,"2050 MOTORS, INC.",867028,11/21/2016,edgar/data/867028/0001493152-16-015351.txt
10-Q,"21st Century Oncology Holdings, Inc.",1503518,11/14/2016,edgar/data/1503518/0001558370-16-010067.txt
10-Q,"22nd Century Group, Inc.",1347858,11/8/2016,edgar/data/1347858/0001144204-16-132423.txt
10-Q,"2U, Inc.",1459417,11/3/2016,edgar/data/1459417/0001104659-16-154594.txt
10-Q,3D SYSTEMS CORP,910638,11/3/2016,edgar/data/910638/0000910638-16-000028.txt
10-Q,3M CO,66740,11/1/2016,edgar/data/66740/0001558370-16-008937.txt
10-Q,"3PEA INTERNATIONAL, INC.",1496443,11/14/2016,edgar/data/1496443/0001683168-16-000553.txt
10-Q,3Power Energy Group Inc.,1221554,11/18/2016,edgar/data/1221554/0001144204-16-135310.txt
10-Q,"5BARz International, Inc.",1454124,10/28/2016,edgar/data/1454124/0001017386-16-000558.txt
10-Q,"5BARz International, Inc.",1454124,12/2/2016,edgar/data/1454124/0001017386-16-000627.txt
10-Q,8X8 INC /DE/,1023731,11/2/2016,edgar/data/1023731/0001136261-16-000648.txt
10-Q,8point3 Energy Partners LP,1635581,10/3/2016,edgar/data/1635581/0001564590-16-025575.txt
10-Q,99 CENTS ONLY STORES LLC,1011290,12/9/2016,edgar/data/1011290/0001104659-16-161530.txt
10-Q,"A-Mark Precious Metals, Inc.",1591588,11/9/2016,edgar/data/1591588/0001591588-16-000189.txt
10-Q,A. H. Belo Corp,1413898,11/1/2016,edgar/data/1413898/0001413898-16-000062.txt
10-Q,"A10 Networks, Inc.",1580808,11/3/2016,edgar/data/1580808/0001580808-16-000111.txt
10-Q,"AAA CENTURY GROUP USA, INC.",1409014,11/21/2016,edgar/data/1409014/0001553350-16-002710.txt
10-Q,"AAC Holdings, Inc.",1606180,11/8/2016,edgar/data/1606180/0001564590-16-028023.txt
10-Q,AAON INC,824142,11/3/2016,edgar/data/824142/0000824142-16-000225.txt
10-Q,AAR CORP,1750,12/22/2016,edgar/data/1750/0001104659-16-163391.txt
10-Q,AARON'S INC,706688,11/2/2016,edgar/data/706688/0000706688-16-000334.txt
10-Q,AB Private Credit Investors Corp,1634452,11/14/2016,edgar/data/1634452/0001193125-16-767809.txt
10-Q,ABAXIS INC,881890,11/9/2016,edgar/data/881890/0001140361-16-085578.txt
10-Q,ABBOTT LABORATORIES,1800,11/3/2016,edgar/data/1800/0001104659-16-154583.txt
10-Q,"ABCO Energy, Inc.",1300938,11/21/2016,edgar/data/1300938/0001185185-16-005842.txt
10-Q,ABEONA THERAPEUTICS INC.,318306,11/14/2016,edgar/data/318306/0001144204-16-134339.txt
10-Q,ABERCROMBIE & FITCH CO /DE/,1018840,12/5/2016,edgar/data/1018840/0001018840-16-000123.txt
10-Q,ABIOMED INC,815094,11/4/2016,edgar/data/815094/0001564590-16-027656.txt
10-Q,ABRAXAS PETROLEUM CORP,867665,11/9/2016,edgar/data/867665/0000867665-16-000218.txt
10-Q,"ABV CONSULTING, INC.",1607450,12/7/2016,edgar/data/1607450/0001213900-16-019203.txt
10-Q,ACACIA RESEARCH CORP,934549,11/14/2016,edgar/data/934549/0000934549-16-000156.txt
