Form Type,Company Name,CIK,Date Filed,File Name
10-Q,1 800 FLOWERS COM INC,1084869,2/8/2019,edgar/data/1084869/0001437749-19-002107.txt
10-Q,3AM TECHNOLOGIES INC,1667615,1/22/2019,edgar/data/1667615/0001078782-19-000071.txt
10-Q,8X8 INC /DE/,1023731,1/30/2019,edgar/data/1023731/0001023731-19-000008.txt
10-Q,"A-Mark Precious Metals, Inc.",1591588,2/12/2019,edgar/data/1591588/0001591588-19-000006.txt
10-Q,AAR CORP,1750,3/20/2019,edgar/data/1750/0001104659-19-016320.txt
10-Q,AB INTERNATIONAL GROUP CORP.,1605331,1/22/2019,edgar/data/1605331/0001663577-19-000038.txt
10-Q,ABIOMED INC,815094,2/5/2019,edgar/data/815094/0001564590-19-002003.txt
10-Q,ABM INDUSTRIES INC /DE/,771497,3/7/2019,edgar/data/771497/0001628280-19-002600.txt
10-Q,ACCURAY INC,1138723,2/8/2019,edgar/data/1138723/0000950123-19-000839.txt
10-Q,ACETO CORP,2034,2/20/2019,edgar/data/2034/0001144204-19-008980.txt
10-Q,"ACRO BIOMEDICAL CO., LTD.",1622996,2/14/2019,edgar/data/1622996/0001640334-19-000261.txt
10-Q,ACTUANT CORP,6955,1/4/2019,edgar/data/6955/0000006955-19-000005.txt
10-Q,ACUITY BRANDS INC,1144215,1/9/2019,edgar/data/1144215/0001144215-19-000025.txt
10-Q,ADDENTAX GROUP CORP.,1650101,2/13/2019,edgar/data/1650101/0001493152-19-001797.txt
10-Q,ADDVANTAGE TECHNOLOGIES GROUP INC,874292,2/12/2019,edgar/data/874292/0001445260-19-000010.txt
10-Q,"ADM TRONICS UNLIMITED, INC.",849401,2/19/2019,edgar/data/849401/0001437749-19-002877.txt
10-Q,ADMIRAL FINANCIAL CORP,828530,2/12/2019,edgar/data/828530/0001553350-19-000138.txt
10-Q,ADOBE INC.,796343,3/27/2019,edgar/data/796343/0000796343-19-000079.txt
10-Q,"ADVANCED DRAINAGE SYSTEMS, INC.",1604028,2/7/2019,edgar/data/1604028/0001564590-19-002287.txt
10-Q,ADVANCED OXYGEN TECHNOLOGIES INC,352991,1/16/2019,edgar/data/352991/0000352991-19-000003.txt
10-Q,AECOM,868857,2/6/2019,edgar/data/868857/0001104659-19-005909.txt
10-Q,AEHR TEST SYSTEMS,1040470,1/14/2019,edgar/data/1040470/0001654954-19-000441.txt
10-Q,AETHLON MEDICAL INC,882291,2/11/2019,edgar/data/882291/0001683168-19-000327.txt
10-Q,AFRIKA4U,1727815,1/22/2019,edgar/data/1727815/0001477932-19-000230.txt
10-Q,AFRIKA4U,1727815,3/22/2019,edgar/data/1727815/0001477932-19-001098.txt
10-Q,"AFTERMASTER, INC.",836809,2/14/2019,edgar/data/836809/0001654954-19-001553.txt
10-Q,"AG Acquisition Group, Inc.",1705126,1/14/2019,edgar/data/1705126/0001493152-19-000589.txt
10-Q,AGILENT TECHNOLOGIES INC,1090872,3/5/2019,edgar/data/1090872/0001090872-19-000006.txt
10-Q,AGILYSYS INC,78749,1/30/2019,edgar/data/78749/0000078749-19-000010.txt
10-Q,AIR PRODUCTS & CHEMICALS INC /DE/,2969,1/25/2019,edgar/data/2969/0000002969-19-000014.txt
10-Q,AIR T INC,353184,2/14/2019,edgar/data/353184/0001437749-19-002635.txt
10-Q,AIRBORNE WIRELESS NETWORK,1537258,1/9/2019,edgar/data/1537258/0001640334-19-000025.txt
10-Q,"AIS Holdings Group, Inc.",1702015,2/13/2019,edgar/data/1702015/0001599916-19-000022.txt
10-Q,"AIT Therapeutics, Inc.",1641631,2/14/2019,edgar/data/1641631/0001493152-19-002083.txt
10-Q,ALICO INC,3545,2/11/2019,edgar/data/3545/0000003545-19-000026.txt
10-Q,ALJ REGIONAL HOLDINGS INC,1438731,2/11/2019,edgar/data/1438731/0001564590-19-002546.txt
10-Q,ALKALINE WATER Co INC,1532390,2/14/2019,edgar/data/1532390/0001062993-19-000944.txt
10-Q,ALL FOR ONE MEDIA CORP.,1286459,2/14/2019,edgar/data/1286459/0001477932-19-000508.txt
